stateTime,ProveCommitSector,PreCommitSector,ProveCommitAggregate,PreCommitSectorBatch,PublishStorageDeals,SubmitWindowedPoSt,Others
"2021-03-29","36072.1515","11716.6829","0.0000","0.0000","110.3686","707.9639","59.7982"
"2021-03-30","35926.6820","11654.4639","0.0000","0.0000","75.1927","739.6370","63.0267"
"2021-03-31","35818.0106","11596.6922","0.0000","0.0000","79.7012","700.9116","70.1618"
"2021-04-01","35241.0359","11552.4125","0.0000","0.0000","79.5437","782.2889","68.5951"
"2021-04-02","36086.0953","11632.4486","0.0000","0.0000","126.8101","673.8005","57.5074"
"2021-04-03","35963.0462","11439.6874","0.0000","0.0000","108.5064","719.5132","58.0454"
"2021-04-04","35486.0338","11811.9626","0.0000","0.0000","77.4104","739.4570","51.8136"
"2021-04-05","35194.5019","11744.2523","0.0000","0.0000","111.8311","719.7892","65.2661"
"2021-04-06","35443.6346","11180.5407","0.0000","0.0000","145.0552","713.5136","64.7052"
"2021-04-07","36287.0208","11413.0397","0.0000","0.0000","185.4038","736.1236","53.3763"
"2021-04-08","35576.3448","11864.3972","0.0000","0.0000","123.0575","761.1572","50.8839"
"2021-04-09","34457.7485","11475.6042","0.0000","0.0000","144.8371","716.0817","63.7373"
"2021-04-10","35261.0613","11074.0545","0.0000","0.0000","305.1060","735.2050","68.7861"
"2021-04-11","32791.4078","10333.1853","0.0000","0.0000","147.5934","777.2794","5040.9659"
"2021-04-12","34990.9217","10637.2417","0.0000","0.0000","164.1490","787.7311","490.4568"
"2021-04-13","35367.6385","10238.3887","0.0000","0.0000","265.2375","808.4251","513.3211"
"2021-04-14","35781.3004","10933.0939","0.0000","0.0000","138.3182","735.2733","72.4282"
"2021-04-15","34422.9497","11301.2457","0.0000","0.0000","118.6652","771.9738","371.2883"
"2021-04-16","36885.9446","11290.6436","0.0000","0.0000","146.1757","809.5169","108.1050"
"2021-04-17","34890.1677","10420.2818","0.0000","0.0000","231.1337","789.9235","214.5031"
"2021-04-18","35652.3670","10940.1543","0.0000","0.0000","201.7861","782.6057","564.4469"
"2021-04-19","35206.4321","10483.5310","0.0000","0.0000","191.2197","763.4550","320.7590"
"2021-04-20","35848.5951","11180.3099","0.0000","0.0000","252.6618","742.7223","139.7105"
"2021-04-21","35048.1809","11089.1992","0.0000","0.0000","182.2439","733.8767","80.2799"
"2021-04-22","34504.1852","11200.9920","0.0000","0.0000","184.2668","770.8351","55.0661"
