,Commit Pledge per 32GiB QAP,Protocol Circulating Supply,Total FIL Mined,Total FIL Vested,Fil Reserve Disbursed,Total FIL Burned,Total FIL Locked,Network QA Power,Network RB Power,Baseline Power,Active Faults,Block Rewards per WinCount,stateTime,FIL-USD,BTC-USD,ETH-USD,onboard_32G,onboard_64G,daily_onboard_QAP,dlog_FILUSD,dlog_QAP,est_20-day_reward,consensus_term,Pledge_theory,gap
80,0.2603,63.3,21.65,62.08,17.07,-10.16,-27.34,1.69,1.69,3.21,3.33,17.45,2021-01-01,22.2910099029541,29374.15234375,730.3675537109375,18.01,0.02,0.5634375,-0.08850725309332397,0.011904902506318371,2.840236686390514,5.915887850467289,8.756124536857804,-8.495824536857803
81,0.2609,63.76,21.9,62.73,17.07,-10.35,-27.58,1.71,1.71,3.22,3.23,17.54,2021-01-02,21.80889129638672,32127.267578125,774.5349731445312,16.9,0.02,0.5287499999999999,-0.021865709540506817,0.01176484157958635,2.9239766081871346,5.940372670807453,8.864349278994588,-8.603449278994589
82,0.2617,64.28,22.14,63.38,17.07,-10.5,-27.81,1.72,1.72,3.23,6.33,17.61,2021-01-03,21.42637825012207,32782.0234375,975.5076904296875,17.23,0.02,0.5390625,-0.0176949528007877,0.005830920310793242,2.790697674418628,5.970278637770898,8.760976312189525,-8.499276312189526
83,0.2626,64.78,22.38,64.03,17.07,-10.65,-28.05,1.74,1.74,3.23,4.0,17.7,2021-01-04,21.4674072265625,31971.9140625,1040.2330322265625,17.17,0.02,0.5371875,0.0019130505035866996,0.01156082240107592,2.7586206896551544,6.0167182662538705,8.775338955909024,-8.512738955909024
84,0.2634,65.26,22.63,64.68,17.07,-10.83,-28.29,1.75,1.75,3.24,5.98,17.77,2021-01-05,21.632770538330078,33992.4296875,1100.006103515625,16.98,0.02,0.53125,0.007673477547243124,0.0057306747089850285,2.857142857142857,6.042592592592592,8.899735449735449,-8.636335449735448
85,0.2638,65.72,22.88,65.33,17.07,-11.03,-28.52,1.77,1.77,3.24,4.18,17.87,2021-01-06,21.969751358032227,36824.36328125,1207.1121826171875,16.65,0.02,0.5209374999999999,0.015457249465926193,0.011363758650315137,2.824858757062147,6.085185185185184,8.91004394224733,-8.646243942247331
86,0.2639,66.16,23.13,65.97,17.07,-11.25,-28.76,1.79,1.79,3.25,3.26,17.97,2021-01-07,22.107826232910156,39371.04296875,1225.6781005859375,16.83,0.02,0.5265624999999999,0.006265105028986362,0.011236073266925883,2.793296089385475,6.107076923076923,8.900373012462397,-8.636473012462398
87,0.2646,66.69,23.38,66.62,17.07,-11.38,-29.01,1.81,1.81,3.26,3.08,18.04,2021-01-08,21.662431716918945,40797.609375,1224.1971435546875,17.66,0.04,0.553125,-0.02035217111734111,0.011111225425070703,2.7624309392265194,6.137116564417178,8.899547503643698,-8.634947503643698
88,0.2658,67.23,23.64,67.27,17.07,-11.5,-29.25,1.82,1.82,3.26,4.55,18.12,2021-01-09,22.114524841308594,40254.546875,1281.0772705078125,17.43,0.15,0.549375,0.020655122375559998,0.005509655810969627,2.857142857142874,6.18680981595092,9.043952673093795,-8.778152673093794
89,0.2666,67.8,23.9,67.92,17.07,-11.58,-29.5,1.84,1.84,3.27,4.47,18.21,2021-01-10,23.497114181518555,38356.44140625,1262.2467041015625,17.53,0.21,0.5543750000000001,0.06064298754371533,0.010929070532190277,2.8260869565217175,6.220183486238532,9.04627044276025,-8.77967044276025
